                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 0.5204,                0.28782,                0.83931,                  0.904,                0.79406,                0.88039,                0.66247,                0.77226,                0.35836,                0.91816,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.5123,                0.28615,                0.83716,                0.89783,                0.80143,                0.88272,                0.66671,                0.76237,                0.35557,                0.91006,               0.004159,               0.004159,               0.004159
                    120,                0.51861,                 0.2864,                0.83553,                0.90899,                0.79228,                0.87926,                0.66635,                0.77224,                0.35517,                0.91322,              0.0041095,              0.0041095,              0.0041095
                    121,                0.51375,                0.28455,                0.83692,                0.90951,                0.79328,                0.87958,                0.66582,                0.77218,                0.35719,                 0.9141,                0.00406,                0.00406,                0.00406
                    122,                 0.5085,                0.28299,                0.83656,                0.90259,                0.79712,                  0.884,                0.66696,                0.76612,                0.35607,                0.91447,              0.0040105,              0.0040105,              0.0040105
                    123,                0.50377,                0.27924,                0.83434,                0.92304,                0.78489,                0.88345,                 0.6676,                0.76189,                0.35666,                 0.9137,               0.003961,               0.003961,               0.003961
                    124,                0.50899,                0.28404,                0.83446,                0.92435,                0.77999,                0.88298,                 0.6684,                0.75838,                0.35809,                0.90736,              0.0039115,              0.0039115,              0.0039115
                    125,                0.50516,                0.28019,                0.83298,                0.90147,                0.79787,                0.88398,                0.67037,                0.75535,                 0.3503,                0.91332,               0.003862,               0.003862,               0.003862
                    126,                0.50932,                0.28323,                0.83437,                0.92661,                0.78946,                0.88525,                0.67135,                0.75064,                0.34956,                0.91272,              0.0038125,              0.0038125,              0.0038125
                    127,                 0.5011,                 0.2784,                0.83132,                0.91609,                0.79631,                0.88474,                0.67004,                0.75858,                0.35154,                0.91138,               0.003763,               0.003763,               0.003763
                    128,                0.49871,                0.27629,                0.83276,                0.89099,                0.80019,                0.88119,                0.66602,                0.76019,                0.35428,                0.91488,              0.0037135,              0.0037135,              0.0037135
                    129,                0.50589,                0.27823,                0.83353,                 0.9143,                0.78845,                0.88053,                0.67166,                0.74618,                0.34671,                0.90905,               0.003664,               0.003664,               0.003664
                    130,                0.49566,                0.27566,                0.83476,                0.92092,                 0.7916,                0.88608,                0.67273,                0.75433,                0.34589,                0.91402,              0.0036145,              0.0036145,              0.0036145
                    131,                0.49757,                0.27534,                0.83261,                 0.9299,                0.78503,                0.88516,                0.67267,                0.74754,                0.34575,                0.90791,               0.003565,               0.003565,               0.003565
                    132,                0.48796,                0.27339,                0.83187,                0.92602,                0.79594,                0.88837,                0.67344,                0.74469,                0.34568,                0.90675,              0.0035155,              0.0035155,              0.0035155
                    133,                0.49256,                0.27237,                0.83227,                0.91308,                0.80158,                0.88571,                0.67569,                0.74907,                0.34482,                0.90672,               0.003466,               0.003466,               0.003466
                    134,                0.49652,                0.27601,                0.83293,                0.93077,                0.79561,                0.89061,                0.67219,                0.75531,                0.34418,                0.91081,              0.0034165,              0.0034165,              0.0034165
                    135,                0.48551,                 0.2707,                0.83098,                0.91593,                0.80836,                0.89005,                0.67768,                0.74104,                0.34378,                0.90265,               0.003367,               0.003367,               0.003367
                    136,                 0.4823,                0.26913,                 0.8311,                0.90088,                0.81258,                0.88976,                0.67453,                0.74871,                0.34202,                0.90388,              0.0033175,              0.0033175,              0.0033175
                    137,                0.48449,                 0.2698,                0.83075,                0.92904,                0.78486,                 0.8856,                0.67044,                0.75818,                0.34403,                 0.9109,               0.003268,               0.003268,               0.003268
                    138,                0.48968,                 0.2711,                0.83055,                0.91153,                0.80381,                0.88781,                0.67702,                0.74161,                0.34076,                 0.9047,              0.0032185,              0.0032185,              0.0032185
                    139,                0.48089,                 0.2696,                0.83082,                0.91604,                0.79564,                0.89035,                0.67576,                0.74097,                0.33981,                0.90229,               0.003169,               0.003169,               0.003169
                    140,                0.49041,                0.27169,                0.83013,                0.90038,                0.80902,                0.88749,                0.67599,                0.73569,                0.33985,                0.90416,              0.0031195,              0.0031195,              0.0031195
                    141,                0.48683,                0.27005,                0.82963,                0.91119,                0.80462,                0.88712,                0.67448,                0.73764,                0.33943,                0.90385,                0.00307,                0.00307,                0.00307
                    142,                0.48269,                0.26921,                0.82801,                0.91011,                0.80573,                0.88872,                0.67777,                0.73994,                0.33878,                0.90053,              0.0030205,              0.0030205,              0.0030205
                    143,                0.48352,                0.26691,                0.82832,                0.93584,                0.78748,                0.88673,                0.67956,                0.73487,                0.33892,                0.89997,               0.002971,               0.002971,               0.002971
                    144,                0.48079,                0.26777,                0.82847,                 0.9074,                0.81134,                0.89007,                0.68257,                0.73019,                0.33707,                0.89898,              0.0029215,              0.0029215,              0.0029215
                    145,                0.47366,                0.26309,                0.82583,                0.93602,                0.79145,                0.89205,                0.68253,                 0.7292,                0.33725,                0.89725,               0.002872,               0.002872,               0.002872
                    146,                0.47281,                0.26463,                0.82719,                0.92955,                0.79077,                0.88956,                0.67883,                0.73041,                0.33702,                0.89944,              0.0028225,              0.0028225,              0.0028225
                    147,                0.47564,                0.26524,                0.82937,                0.93453,                  0.794,                0.89009,                0.68679,                0.73002,                 0.3333,                0.90142,               0.002773,               0.002773,               0.002773
                    148,                0.48004,                0.26547,                0.82707,                 0.9411,                 0.8009,                0.89457,                0.68876,                0.72955,                0.33025,                0.89558,              0.0027235,              0.0027235,              0.0027235
                    149,                0.46738,                0.26097,                0.82627,                0.93235,                  0.805,                0.89515,                0.68785,                0.71863,                0.32928,                0.89544,               0.002674,               0.002674,               0.002674
                    150,                0.47261,                0.26285,                0.82794,                0.91194,                0.81819,                0.89516,                0.68766,                0.71855,                0.32997,                0.89508,              0.0026245,              0.0026245,              0.0026245
                    151,                0.46067,                0.25774,                0.82507,                0.92961,                0.80388,                0.89608,                 0.6862,                0.71536,                0.33127,                0.89618,               0.002575,               0.002575,               0.002575
                    152,                0.47051,                0.26051,                0.82541,                0.90816,                0.81909,                0.89583,                0.68449,                0.72093,                0.33215,                0.89837,              0.0025255,              0.0025255,              0.0025255
                    153,                0.46385,                0.25843,                0.82646,                0.92316,                 0.8035,                0.89219,                0.68597,                0.72144,                0.33287,                0.89895,               0.002476,               0.002476,               0.002476
                    154,                0.47175,                0.26189,                0.82819,                0.92688,                0.80648,                0.89513,                0.68479,                0.72318,                0.33399,                0.89778,              0.0024265,              0.0024265,              0.0024265
                    155,                0.46403,                0.25858,                0.82526,                0.93952,                0.79926,                 0.8931,                0.68859,                0.72024,                0.32829,                0.89492,               0.002377,               0.002377,               0.002377
                    156,                0.45164,                0.25429,                0.82538,                 0.9105,                0.81586,                0.89407,                0.68597,                0.72457,                0.32791,                0.89631,              0.0023275,              0.0023275,              0.0023275
                    157,                 0.4645,                0.25829,                0.82466,                0.93655,                0.79404,                0.89221,                0.68597,                0.72253,                0.32961,                 0.8955,               0.002278,               0.002278,               0.002278
                    158,                0.45739,                0.25456,                 0.8234,                0.91564,                0.81058,                 0.8923,                0.68953,                0.71695,                0.32389,                0.89306,              0.0022285,              0.0022285,              0.0022285
